                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78655,                 0.5395,                0.92376,                0.93414,                0.91864,                0.95606,                0.82007,                 0.7041,                0.58965,                0.88747,               0.006535,               0.006535,               0.006535
                     37,                0.78505,                0.53658,                0.92165,                0.94191,                0.91061,                0.95477,                0.81642,                0.70826,                  0.628,                0.89133,               0.006436,               0.006436,               0.006436
                     38,                0.77887,                0.53046,                0.92106,                0.94303,                0.91949,                0.95914,                0.82587,                0.68392,                0.58054,                0.88106,               0.006337,               0.006337,               0.006337
                     39,                0.77349,                0.52702,                0.91825,                0.94994,                0.91575,                0.96034,                0.82361,                0.70447,                0.56747,                 0.8886,               0.006238,               0.006238,               0.006238
                     40,                0.77279,                0.52577,                0.91825,                0.94017,                0.91205,                0.95441,                0.81838,                0.71622,                 0.5862,                0.88954,               0.006139,               0.006139,               0.006139
                     41,                 0.7644,                0.51846,                0.91487,                0.93665,                0.90884,                0.95437,                0.81363,                0.73445,                0.61944,                0.89297,                0.00604,                0.00604,                0.00604
                     42,                0.76678,                0.52023,                 0.9177,                0.93664,                0.90913,                0.95334,                0.81855,                0.70974,                0.63587,                 0.8882,               0.005941,               0.005941,               0.005941
                     43,                0.76043,                0.51494,                0.91462,                0.94643,                 0.9205,                0.96036,                0.83185,                0.67396,                0.59699,                0.87963,               0.005842,               0.005842,               0.005842
                     44,                0.75842,                0.51353,                0.91191,                0.92729,                0.90532,                0.95285,                0.81754,                0.71063,                0.61618,                0.88561,               0.005743,               0.005743,               0.005743
                     45,                0.75835,                 0.5142,                0.91358,                0.94924,                0.91695,                0.95767,                0.82658,                0.68901,                0.58321,                0.87967,               0.005644,               0.005644,               0.005644
                     46,                0.75126,                0.50887,                 0.9108,                0.93923,                0.91682,                0.95858,                0.82684,                0.70312,                0.58055,                0.88238,               0.005545,               0.005545,               0.005545
                     47,                0.75186,                0.50613,                 0.9109,                0.94231,                 0.9163,                0.95795,                 0.8256,                 0.7077,                0.59082,                0.88445,               0.005446,               0.005446,               0.005446
                     48,                0.75071,                0.50638,                0.91103,                0.94654,                0.91792,                0.96012,                0.82926,                0.68509,                 0.5845,                0.88227,               0.005347,               0.005347,               0.005347
                     49,                0.74726,                0.50184,                0.90821,                 0.9395,                0.91607,                0.95687,                0.82496,                0.69933,                0.60916,                0.88166,               0.005248,               0.005248,               0.005248
                     50,                0.74174,                0.50042,                0.90725,                0.92965,                0.91266,                0.95476,                0.83173,                0.67379,                 0.5777,                0.87505,               0.005149,               0.005149,               0.005149
                     51,                0.73938,                0.49824,                0.90627,                0.93891,                0.91548,                0.95589,                0.82725,                0.69595,                0.57336,                0.87964,                0.00505,                0.00505,                0.00505
                     52,                0.73546,                0.49497,                0.90582,                0.93724,                0.90652,                0.95511,                0.82581,                 0.6868,                0.59816,                0.87751,               0.004951,               0.004951,               0.004951
